courseCode,section,recordTime,quota,enrol,avail,wait
OCES 3160,L1 (3751),1629906551,120,72,48,0
OCES 3160,L1 (3751),1629941767,120,76,44,0
OCES 3160,L1 (3751),1629942670,120,77,43,0
OCES 3160,L1 (3751),1629943570,120,78,42,0
OCES 3160,L1 (3751),1629945370,120,79,41,0
OCES 3160,L1 (3751),1629946510,120,81,39,0
OCES 3160,L1 (3751),1629947109,120,82,38,0
OCES 3160,L1 (3751),1629948909,120,87,33,0
OCES 3160,L1 (3751),1629950110,120,91,29,0
OCES 3160,L1 (3751),1629952509,120,102,18,0
OCES 3160,L1 (3751),1629953411,120,103,17,0
OCES 3160,L1 (3751),1629956110,120,102,18,0
OCES 3160,L1 (3751),1629963310,120,104,16,0
OCES 3160,L1 (3751),1629967510,120,106,14,0
OCES 3160,L1 (3751),1629968411,120,107,13,0
OCES 3160,L1 (3751),1630029611,120,109,11,0
OCES 3160,L1 (3751),1630033211,120,111,9,0
OCES 3160,L1 (3751),1630035011,120,110,10,0
OCES 3160,L1 (3751),1630036811,120,114,6,0
OCES 3160,L1 (3751),1630039511,120,115,5,0
OCES 3160,L1 (3751),1630043111,120,116,4,0
OCES 3160,L1 (3751),1630051211,120,115,5,0
OCES 3160,L1 (3751),1630052111,120,116,4,0
OCES 3160,L1 (3751),1630055710,120,118,2,0
OCES 3160,L1 (3751),1630108812,120,119,1,0
OCES 3160,L1 (3751),1630128612,120,120,0,0
OCES 3160,L1 (3751),1630144814,120,120,0,1
OCES 3160,L1 (3751),1630473311,120,120,0,2
OCES 3160,L1 (3751),1630497612,120,120,0,3
OCES 3160,L1 (3751),1630508412,120,120,0,4
OCES 3160,L1 (3751),1630548012,120,120,0,5
OCES 3160,L1 (3751),1630567811,120,120,0,4
OCES 3160,L1 (3751),1630577711,120,120,0,5
OCES 3160,L1 (3751),1630616412,120,120,0,6
OCES 3160,L1 (3751),1630702812,120,120,0,7
OCES 3160,L1 (3751),1630822510,120,120,0,6
OCES 3160,L1 (3751),1630908012,120,120,0,8
OCES 3160,L1 (3751),1630921511,120,119,1,8
OCES 3160,L1 (3751),1630925112,120,120,0,7
OCES 3160,L1 (3751),1631160012,120,119,1,7
OCES 3160,L1 (3751),1631162711,120,120,0,6
OCES 3160,L1 (3751),1631249110,120,120,0,5
OCES 3160,L1 (3751),1631260814,120,120,0,6
OCES 3160,L1 (3751),1631524511,122,120,2,6
OCES 3160,L1 (3751),1631526310,122,122,0,4
OCES 3160,L1 (3751),1631566811,122,122,0,3
OCES 3160,L1 (3751),1631588412,122,122,0,2
OCES 3160,L1 (3751),1631614511,122,122,0,1
OCES 3160,L1 (3751),1631653212,122,122,0,0
