courseCode,section,recordTime,quota,enrol,avail,wait
COMP 3721,L1 (2122),1629941764,35,5,30,0
COMP 3721,L1 (2122),1629942665,35,7,28,0
COMP 3721,L1 (2122),1629945365,35,10,25,0
COMP 3721,L1 (2122),1629946506,35,12,23,0
COMP 3721,L1 (2122),1629947105,35,14,21,0
COMP 3721,L1 (2122),1629948905,35,19,16,0
COMP 3721,L1 (2122),1629950105,35,23,12,0
COMP 3721,L1 (2122),1629952505,35,25,10,0
COMP 3721,L1 (2122),1629954305,35,26,9,0
COMP 3721,L1 (2122),1629956106,35,29,6,0
COMP 3721,L1 (2122),1629957007,35,30,5,0
COMP 3721,L1 (2122),1629957908,35,31,4,0
COMP 3721,L1 (2122),1629959706,35,34,1,0
COMP 3721,L1 (2122),1629960606,35,35,0,0
COMP 3721,L1 (2122),1629961505,35,35,0,1
COMP 3721,L1 (2122),1629963306,35,35,0,3
COMP 3721,L1 (2122),1629967506,35,35,0,10
COMP 3721,L1 (2122),1629972006,35,35,0,11
COMP 3721,L1 (2122),1629972905,35,35,0,20
COMP 3721,L1 (2122),1629973807,35,35,0,23
COMP 3721,L1 (2122),1629974706,35,35,0,22
COMP 3721,L1 (2122),1629975606,35,35,0,25
COMP 3721,L1 (2122),1629976506,35,35,0,27
COMP 3721,L1 (2122),1629978306,35,35,0,28
COMP 3721,L1 (2122),1629982807,35,35,0,29
COMP 3721,L1 (2122),1629986407,35,35,0,30
COMP 3721,L1 (2122),1630033206,35,35,0,31
COMP 3721,L1 (2122),1630038606,35,35,0,32
COMP 3721,L1 (2122),1630040406,35,35,0,33
COMP 3721,L1 (2122),1630041306,35,35,0,34
COMP 3721,L1 (2122),1630043106,35,35,0,35
COMP 3721,L1 (2122),1630045806,35,57,0,13
COMP 3721,L1 (2122),1630046706,57,57,0,14
COMP 3721,L1 (2122),1630059307,57,57,0,15
COMP 3721,L1 (2122),1630062906,57,57,0,16
COMP 3721,L1 (2122),1630184407,57,57,0,17
COMP 3721,L1 (2122),1630210507,57,57,0,18
COMP 3721,L1 (2122),1630226707,57,57,0,19
COMP 3721,L1 (2122),1630296906,76,57,19,19
COMP 3721,L1 (2122),1630297807,76,74,2,2
COMP 3721,L1 (2122),1630299606,76,73,3,2
COMP 3721,L1 (2122),1630303207,76,73,3,1
COMP 3721,L1 (2122),1630315807,76,74,2,0
COMP 3721,L1 (2122),1630317607,76,75,1,0
COMP 3721,L1 (2122),1630339207,76,76,0,0
COMP 3721,L1 (2122),1630382407,76,76,0,1
COMP 3721,L1 (2122),1630398607,76,76,0,2
COMP 3721,L1 (2122),1630485906,76,76,0,4
COMP 3721,L1 (2122),1630489507,76,76,0,5
COMP 3721,L1 (2122),1630530007,76,76,0,4
COMP 3721,L1 (2122),1630556107,76,75,1,4
COMP 3721,L1 (2122),1630562407,76,75,1,5
COMP 3721,L1 (2122),1630564206,76,76,0,4
COMP 3721,L1 (2122),1630567806,76,75,1,4
COMP 3721,L1 (2122),1630568706,76,76,0,3
COMP 3721,L1 (2122),1630571406,76,75,1,3
COMP 3721,L1 (2122),1630634407,76,74,2,3
COMP 3721,L1 (2122),1630639806,76,75,1,2
COMP 3721,L1 (2122),1630667706,76,75,1,3
COMP 3721,L1 (2122),1630668607,76,76,0,2
COMP 3721,L1 (2122),1630855806,76,75,1,2
COMP 3721,L1 (2122),1630906206,76,75,1,4
COMP 3721,L1 (2122),1630909806,76,76,0,3
COMP 3721,L1 (2122),1630920607,76,76,0,4
COMP 3721,L1 (2122),1630924206,76,75,1,4
COMP 3721,L1 (2122),1630925107,76,76,0,3
COMP 3721,L1 (2122),1630981807,76,76,0,4
COMP 3721,L1 (2122),1631007006,76,76,0,5
COMP 3721,L1 (2122),1631071806,76,75,1,5
COMP 3721,L1 (2122),1631073606,76,76,0,4
COMP 3721,L1 (2122),1631111406,76,76,0,3
COMP 3721,L1 (2122),1631154606,76,76,0,2
COMP 3721,L1 (2122),1631171707,76,75,1,2
COMP 3721,L1 (2122),1631172607,76,76,0,1
COMP 3721,L1 (2122),1631176207,76,75,1,1
COMP 3721,L1 (2122),1631244607,76,74,2,1
COMP 3721,L1 (2122),1631247306,76,73,3,1
COMP 3721,L1 (2122),1631394005,76,72,4,1
COMP 3721,L1 (2122),1631512806,76,71,5,1
COMP 3721,L1 (2122),1631514606,76,70,6,1
COMP 3721,L1 (2122),1631566806,76,68,8,1
COMP 3721,L1 (2122),1631592006,76,68,8,2
COMP 3721,L1 (2122),1631593806,76,68,8,1
COMP 3721,L1 (2122),1631633406,76,67,9,1
COMP 3721,L1 (2122),1631653206,76,67,9,0
