courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4521,L1 (2162),1629941764,60,20,40,0
COMP 4521,L1 (2162),1629942665,60,30,30,0
COMP 4521,L1 (2162),1629945365,60,42,18,0
COMP 4521,L1 (2162),1629946506,60,50,10,0
COMP 4521,L1 (2162),1629947105,60,53,7,0
COMP 4521,L1 (2162),1629948306,60,54,6,0
COMP 4521,L1 (2162),1629948905,60,60,0,18
COMP 4521,L1 (2162),1629952505,60,60,0,51
COMP 4521,L1 (2162),1629953407,60,60,0,49
COMP 4521,L1 (2162),1629956106,60,60,0,53
COMP 4521,L1 (2162),1629958806,60,60,0,54
COMP 4521,L1 (2162),1629959706,60,60,0,55
COMP 4521,L1 (2162),1629960606,60,60,0,53
COMP 4521,L1 (2162),1629961505,60,60,0,54
COMP 4521,L1 (2162),1629963306,60,60,0,57
COMP 4521,L1 (2162),1629965706,60,60,0,58
COMP 4521,L1 (2162),1629978306,60,60,0,59
COMP 4521,L1 (2162),1629993607,60,60,0,58
COMP 4521,L1 (2162),1630059307,60,60,0,57
COMP 4521,L1 (2162),1630297807,60,59,1,57
COMP 4521,L1 (2162),1630299606,60,60,0,56
COMP 4521,L1 (2162),1630307706,60,60,0,55
COMP 4521,L1 (2162),1630368008,60,60,0,54
COMP 4521,L1 (2162),1630420206,60,60,0,55
COMP 4521,L1 (2162),1630422007,60,60,0,54
COMP 4521,L1 (2162),1630461607,60,60,0,53
COMP 4521,L1 (2162),1630463407,60,60,0,54
COMP 4521,L1 (2162),1630465207,60,59,1,53
COMP 4521,L1 (2162),1630467007,60,60,0,52
COMP 4521,L1 (2162),1630498506,60,60,0,53
COMP 4521,L1 (2162),1630530007,60,60,0,52
COMP 4521,L1 (2162),1630548007,60,60,0,51
COMP 4521,L1 (2162),1630551606,60,60,0,50
COMP 4521,L1 (2162),1630560606,60,60,0,49
COMP 4521,L1 (2162),1630591207,60,60,0,48
COMP 4521,L1 (2162),1630643407,60,60,0,47
COMP 4521,L1 (2162),1630722608,60,60,0,46
COMP 4521,L1 (2162),1630726208,60,60,0,45
COMP 4521,L1 (2162),1630875607,60,60,0,44
COMP 4521,L1 (2162),1630917906,60,60,0,43
COMP 4521,L1 (2162),1630981807,60,60,0,42
COMP 4521,L1 (2162),1631030407,60,60,0,41
COMP 4521,L1 (2162),1631085306,60,60,0,42
COMP 4521,L1 (2162),1631105106,60,60,0,41
COMP 4521,L1 (2162),1631154606,60,59,1,41
COMP 4521,L1 (2162),1631156406,60,60,0,40
COMP 4521,L1 (2162),1631197807,60,60,0,39
COMP 4521,L1 (2162),1631199606,60,60,0,38
COMP 4521,L1 (2162),1631221207,60,60,0,37
COMP 4521,L1 (2162),1631267107,60,60,0,38
COMP 4521,L1 (2162),1631448906,60,60,0,36
COMP 4521,L1 (2162),1631505606,60,60,0,35
COMP 4521,L1 (2162),1631511006,60,60,0,34
COMP 4521,L1 (2162),1631514606,60,59,1,34
COMP 4521,L1 (2162),1631515506,60,60,0,33
COMP 4521,L1 (2162),1631547007,60,60,0,34
COMP 4521,L1 (2162),1631566806,60,60,0,31
COMP 4521,L1 (2162),1631588406,60,60,0,30
COMP 4521,L1 (2162),1631604606,60,60,0,29
COMP 4521,L1 (2162),1631605506,60,60,0,28
COMP 4521,L1 (2162),1631610906,60,60,0,27
COMP 4521,L1 (2162),1631631606,60,60,0,26
COMP 4521,L1 (2162),1631653206,60,60,0,0
