courseCode,section,recordTime,quota,enrol,avail,wait
COMP 3111,L1 (2089),1631372407,95,84,11,3
COMP 3111,L2 (2091),1631372407,65,45,20,0
COMP 3111,L2 (2091),1631394005,65,46,19,0
COMP 3111,L2 (2091),1631458807,65,45,20,0
COMP 3111,L1 (2089),1631511006,95,84,11,2
COMP 3111,L1 (2089),1631519106,95,84,11,3
COMP 3111,L1 (2089),1631521807,95,85,10,2
COMP 3111,L1 (2089),1631603706,95,85,10,3
COMP 3111,L1 (2089),1631604606,95,86,9,1
COMP 3111,L1 (2089),1631605506,95,85,10,1
COMP 3111,L1 (2089),1631609106,95,86,9,1
COMP 3111,L2 (2091),1631609106,65,44,21,0
COMP 3111,L1 (2089),1631615406,95,87,8,1
COMP 3111,L1 (2089),1631653206,95,87,8,0
