courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4021,L1 (2127),1629941764,65,15,50,0
COMP 4021,L1 (2127),1629942665,65,23,42,0
COMP 4021,L1 (2127),1629945365,65,37,28,0
COMP 4021,L1 (2127),1629946506,65,47,18,0
COMP 4021,L1 (2127),1629947105,65,50,15,0
COMP 4021,L1 (2127),1629948905,65,64,1,7
COMP 4021,L1 (2127),1629950105,65,63,2,10
COMP 4021,L1 (2127),1629950706,65,63,2,11
COMP 4021,L1 (2127),1629951606,65,65,0,8
COMP 4021,L1 (2127),1629952505,65,65,0,33
COMP 4021,L1 (2127),1629953407,65,65,0,32
COMP 4021,L1 (2127),1629954305,65,65,0,33
COMP 4021,L1 (2127),1629956106,65,65,0,39
COMP 4021,L1 (2127),1629959706,65,65,0,46
COMP 4021,L1 (2127),1629960606,65,65,0,45
COMP 4021,L1 (2127),1629963306,65,65,0,56
COMP 4021,L1 (2127),1629964206,65,65,0,57
COMP 4021,L1 (2127),1629967506,65,65,0,59
COMP 4021,L1 (2127),1629968407,65,65,0,60
COMP 4021,L1 (2127),1629973807,65,65,0,61
COMP 4021,L1 (2127),1629974706,65,65,0,60
COMP 4021,L1 (2127),1629982807,65,65,0,61
COMP 4021,L1 (2127),1629986407,65,65,0,62
COMP 4021,L1 (2127),1629997206,65,65,0,63
COMP 4021,L1 (2127),1630029606,65,65,0,66
COMP 4021,L1 (2127),1630059307,65,65,0,67
COMP 4021,L1 (2127),1630132206,65,65,0,66
COMP 4021,L1 (2127),1630157406,65,65,0,65
COMP 4021,L1 (2127),1630161006,65,65,0,66
COMP 4021,L1 (2127),1630184407,65,65,0,67
COMP 4021,L1 (2127),1630232106,65,65,0,66
COMP 4021,L1 (2127),1630270805,65,65,0,67
COMP 4021,L1 (2127),1630296906,65,65,0,68
COMP 4021,L1 (2127),1630314906,65,65,0,67
COMP 4021,L1 (2127),1630380607,65,65,0,66
COMP 4021,L1 (2127),1630394107,65,65,0,65
COMP 4021,L1 (2127),1630409407,65,65,0,64
COMP 4021,L1 (2127),1630412107,65,65,0,63
COMP 4021,L1 (2127),1630468807,65,65,0,64
COMP 4021,L1 (2127),1630473307,75,65,10,63
COMP 4021,L1 (2127),1630474206,75,75,0,53
COMP 4021,L1 (2127),1630476007,75,74,1,53
COMP 4021,L1 (2127),1630477806,75,75,0,52
COMP 4021,L1 (2127),1630480506,75,75,0,51
COMP 4021,L1 (2127),1630483207,75,75,0,52
COMP 4021,L1 (2127),1630486806,75,75,0,50
COMP 4021,L1 (2127),1630487707,75,75,0,49
COMP 4021,L1 (2127),1630573207,75,75,0,50
COMP 4021,L1 (2127),1630577706,75,74,1,50
COMP 4021,L1 (2127),1630578606,75,75,0,49
COMP 4021,L1 (2127),1630585806,75,75,0,50
COMP 4021,L1 (2127),1630591207,75,75,0,48
COMP 4021,L1 (2127),1630638006,75,75,0,47
COMP 4021,L1 (2127),1630650606,75,75,0,46
COMP 4021,L1 (2127),1630742406,75,75,0,45
COMP 4021,L1 (2127),1630895408,75,75,0,46
COMP 4021,L1 (2127),1630899006,75,75,0,45
COMP 4021,L1 (2127),1630911606,75,74,1,45
COMP 4021,L1 (2127),1630913407,75,75,0,44
COMP 4021,L1 (2127),1630914307,75,75,0,45
COMP 4021,L1 (2127),1630917906,75,75,0,44
COMP 4021,L1 (2127),1631089806,75,75,0,43
COMP 4021,L1 (2127),1631115007,75,75,0,42
COMP 4021,L1 (2127),1631180706,75,75,0,41
COMP 4021,L1 (2127),1631201406,75,75,0,40
COMP 4021,L1 (2127),1631239206,75,75,0,39
COMP 4021,L1 (2127),1631246408,75,75,0,38
COMP 4021,L1 (2127),1631256306,75,75,0,36
COMP 4021,L1 (2127),1631274306,75,75,0,35
COMP 4021,L1 (2127),1631275206,75,75,0,34
COMP 4021,L1 (2127),1631282406,75,75,0,33
COMP 4021,L1 (2127),1631394005,75,75,0,32
COMP 4021,L1 (2127),1631458807,75,75,0,31
COMP 4021,L1 (2127),1631460607,75,75,0,30
COMP 4021,L1 (2127),1631480407,75,75,0,29
COMP 4021,L1 (2127),1631505606,77,75,2,28
COMP 4021,L1 (2127),1631507407,77,77,0,26
COMP 4021,L1 (2127),1631521807,77,77,0,25
COMP 4021,L1 (2127),1631526306,77,77,0,24
COMP 4021,L1 (2127),1631545206,77,77,0,23
COMP 4021,L1 (2127),1631566806,77,77,0,22
COMP 4021,L1 (2127),1631586606,77,77,0,21
COMP 4021,L1 (2127),1631592906,77,77,0,20
COMP 4021,L1 (2127),1631605506,77,77,0,19
COMP 4021,L1 (2127),1631610906,77,76,1,19
COMP 4021,L1 (2127),1631611806,77,76,1,18
COMP 4021,L1 (2127),1631615406,77,77,0,17
COMP 4021,L1 (2127),1631618106,77,76,1,17
COMP 4021,L1 (2127),1631619007,77,77,0,15
COMP 4021,L1 (2127),1631619906,77,76,1,15
COMP 4021,L1 (2127),1631621706,77,76,1,14
COMP 4021,L1 (2127),1631622606,77,77,0,13
COMP 4021,L1 (2127),1631626206,77,77,0,12
COMP 4021,L1 (2127),1631628006,77,77,0,11
COMP 4021,L1 (2127),1631629806,77,77,0,10
COMP 4021,L1 (2127),1631631606,77,77,0,11
COMP 4021,L1 (2127),1631635207,77,75,2,11
COMP 4021,L1 (2127),1631653206,77,75,2,0
