courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4971A,R1 (4248),1629948306,7,5,2,0
COMP 4971A,R1 (4248),1629948905,7,6,1,0
COMP 4971A,R1 (4248),1630288807,7,7,0,0
COMP 4971A,R1 (4248),1630548007,8,7,1,0
COMP 4971A,R1 (4248),1631241007,9,7,2,0
COMP 4971A,R1 (4248),1631543407,9,8,1,0
